INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
Westbound Stoney approaching Shaganappi Trail NW.,Multi vehicle incident.,12/09/2016 05:16:08 PM,12/09/2016 05:16:53 PM,NE,-114.147933369876,51.1527364456253,"(51.1527364456253, -114.147933369876)",1
Sunridge Way at 36 Street NE,There is an incident involving LRT.,12/09/2016 05:14:00 PM,12/09/2016 05:16:00 PM,NE,-113.9849337,51.06729869,"(51.0672986910231, -113.98493374196)",1
36 Street at Whitefield Drive NE,Multi vehicle incident.,12/09/2016 05:01:42 PM,12/09/2016 05:16:54 PM,NE,-113.981529380718,51.088392671123,"(51.088392671123, -113.981529380718)",1
20 Avenue at 8 Street NW,2 vehicle incident.,12/09/2016 04:58:23 PM,12/09/2016 05:16:54 PM,NW,-114.081377719156,51.0705385526371,"(51.0705385526371, -114.081377719156)",1
Westbound 76th Avenue at 52nd Street SE,2 vehicle incident.,12/09/2016 06:35:00 AM,12/09/2016 06:56:00 AM,SE,-113.9589577,50.98510257,"(50.9851025673494, -113.958957677264)",1
Northbound Panorama Hills Boulevard at Country Hills Boulevard NW,Multi vehicle incident,12/08/2016 10:46:00 PM,12/08/2016 10:51:00 PM,NW,-114.0741227,51.14844324,"(51.1484432352485, -114.074122673022)",1
Stoney Trail exit to northbound Deerfoot Trail NE,Single vehicle incident,12/08/2016 10:09:00 PM,12/08/2016 10:20:00 PM,NE,-114.0009188,51.18231074,"(51.1823107410225, -114.00091882698)",1
Northbound Deerfoot Trail at McKnight Boulevard NE,2 vehicle incident.,12/07/2016 07:36:00 PM,12/07/2016 07:51:00 PM,NE,-114.0417848,51.09765204,"(51.097652035189, -114.04178477411)",1
Northbound Sarcee Trail at Glenmore Trail SW,Single vehicle incident.,12/10/2016 01:27:08 PM,12/10/2016 02:14:07 PM,SW,-114.162862577552,51.0099220435946,"(51.0099220435946, -114.162862577552)",1
Westbound Crowchild Trail at 12 Mile Coulee Road NW,2 vehicle incident.,12/10/2016 11:53:46 AM,12/10/2016 11:55:29 AM,NW,-114.257374268447,51.1428695480381,"(51.1428695480381, -114.257374268447)",1
Northbound Stoney Trail at 16 Avenue NE,Single vehicle incident in the left lane.,12/10/2016 09:18:46 AM,12/10/2016 09:21:43 AM,NE,-113.929731671065,51.0670302472081,"(51.0670302472081, -113.929731671065)",1
Centre Street at Beddington Boulevard NE,2 vehicle incident.,12/09/2016 01:30:00 PM,12/09/2016 01:32:00 PM,NE,-114.0713497,51.12513261,"(51.1251326097573, -114.071349710093)",1
Northbound Deerfoot Trail at 130 Avenue SE,2 vehicle incident blocking the right lane.,12/16/2016 07:27:10 AM,12/16/2016 07:47:31 AM,SE,-113.978889575018,50.9319825227522,"(50.9319825227522, -113.978889575018)",1
Westbound Crowchild Trail at Sarcee Trail NW,2 vehicle incident.,12/10/2016 01:21:42 PM,12/10/2016 01:23:39 PM,NW,-114.180187767589,51.1120374189027,"(51.1120374189027, -114.180187767589)",1
130 Avenue at 48 Street SE,2 vehicle incident.,12/09/2016 06:36:21 PM,12/09/2016 06:56:02 PM,SE,-113.965739722774,50.9320908801432,"(50.9320908801432, -113.965739722774)",1
Barlow Trail at 114 Avenue SE,2 vehicle incident.,12/09/2016 06:04:08 PM,12/09/2016 06:21:31 PM,NE,-113.982110792952,50.950529480111,"(50.950529480111, -113.982110792952)",1
Sunridge Way at 36 Street NE,There is an incident involving LRT.,12/09/2016 05:14:08 PM,12/09/2016 05:16:54 PM,NE,-113.98493374196,51.0672986910231,"(51.0672986910231, -113.98493374196)",1
36 Street at Whitefield Drive NE,Multi vehicle incident.,12/09/2016 05:01:00 PM,12/09/2016 05:02:00 PM,NE,-113.9815294,51.08839267,"(51.088392671123, -113.981529380718)",1
194 Avenue at Chaparral Boulevard SE,2 vehicle incident.,12/09/2016 03:30:00 PM,12/09/2016 03:31:00 PM,SE,-114.0251192,50.87779598,"(50.8777959764633, -114.025119191404)",1
Northbound 30 Street North of Glenmore Trail SE,Multi-vehicle incident.,12/09/2016 06:57:00 AM,12/09/2016 07:20:00 AM,NW,-113.9914459,50.97958018,"(50.9795801788776, -113.991445920131)",1
Northbound Deerfoot Trail at Beddington Trail NE,Single vehicle incident.,12/08/2016 08:58:00 AM,12/08/2016 09:12:00 AM,NE,-114.0461545,51.12216557,"(51.1221655702783, -114.046154501425)",1
Eastbound Country Hills Boulevard at Stoney Trail NW,2 vehicle incident.,12/08/2016 07:20:00 AM,12/08/2016 09:12:00 AM,NW,-114.2095352,51.14702095,"(51.1470209540732, -114.209535231494)",1
12 Avenue and 11 Street SW,2 vehicle incident in the intersection.,12/07/2016 07:46:00 PM,12/07/2016 07:51:00 PM,SW,-114.0889172,51.04214785,"(51.0421478488218, -114.088917198818)",1
Nortbound Deerfoot Trail south of Peigan Trail SE,Single vehicle incident.,12/08/2016 06:04:00 AM,12/08/2016 06:06:00 AM,SE,-114.0052562,51.01500129,"(51.0150012899922, -114.005256240543)",1
57 Avenue and 5 Street SW,Incident involving a pedestrian.,12/07/2016 06:56:00 PM,12/07/2016 07:07:00 PM,NW,-114.0764393,51.00246343,"(51.0024634276666, -114.07643929555)",1
Northbound Centre Street at 10 Avenue NE,2 vehicle incident.,12/07/2016 06:35:00 PM,12/07/2016 06:54:00 PM,NE,-114.0625291,51.06155731,"(51.0615573063912, -114.062529122864)",1
Northbound Deerfoot Trail past Douglasdale Boulevard SE,2 vehicle incident.,12/07/2016 05:51:00 PM,12/07/2016 05:52:00 PM,SE,-114.0191365,50.95223817,"(50.9522381682447, -114.019136470436)",1
Southbound 52 Street past Mcknight Boulevard NE,2 vehicle incident.,12/07/2016 05:37:00 PM,12/07/2016 05:52:00 PM,NE,-113.958387,51.09385451,"(51.0938545067298, -113.958386959242)",1
14 Street and 25 Avenue SW,Incident involving a pedestrian.,12/07/2016 02:08:00 PM,12/07/2016 02:09:00 PM,SW,-114.0946843,51.03144525,"(51.0314452493899, -114.094684308091)",1
Westbound Memorial Drive and 39 Street SE,2 vehicle incident in the intersection.,12/06/2016 07:36:00 PM,12/06/2016 07:38:00 PM,NE,-113.9769169,51.05277711,"(51.052777114181, -113.976916888172)",1
Ogden Road at Bonnybrook Road SE,2 vehicle incident.,12/06/2016 04:26:00 PM,12/06/2016 04:38:00 PM,SE,-114.0308717,51.02839263,"(51.0283926253026, -114.030871669457)",1
Eastbound Memorial Drive approaching Deerfoot Trail NE,2 vehicle incident blocking the middle lane.,12/06/2016 02:36:00 PM,12/06/2016 02:42:00 PM,NE,-114.0205479,51.0476343,"(51.047634296167, -114.020547852567)",1
